scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.FuLi.Syn Theta.FuLi.Nsyn Theta.Watt.Syn Theta.Watt.Nsyn Theta.Taji.Syn Theta.Taji.Nsyn Theta.FayWu.Syn Theta.FayWu.Nsyn Theta.vhf.Syn Theta.vhf.Nsyn Div.Syn Div.Nsyn
SLiM_0_sum.txt 0 0.02 0.2188 0.34 0.66 0.86 26418 52638 26399.7720729572 52635.2292857845 26471.4636734677 52737.7820408384 26480.658775515 52463.8914285668 26268.7763859916 51578.7609894516 117368 234975
SLiM_0_sum.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 26439 52593 26412.2794672993 52631.7295440558 26474.7561302575 52741.9223461863 26462.7446185611 52448.4041777936 26136.9512405652 51529.3798025285 117434 235101
SLiM_0_sum.txt 0.25 0.0268 0.2326 0.3423 0.6577 0.8485 26266 52633 26377.8841073394 52653.2107183717 26478.5493866248 52733.2518019501 26487.8805263807 52477.4460250213 26224.3572133722 51607.7362721155 117541 235341
SLiM_0_sum.txt 0.5 0.0406 0.2548 0.3469 0.6531 0.829 26099 52839 26365.6915108691 52701.4671295364 26495.3939575553 52743.5086462605 26515.2803319768 52493.4434846411 26408.5564721135 52064.4767944199 117902 236037
SLiM_0_sum.txt 0.75 0.0834 0.302 0.3611 0.6389 0.783 26374 52794 26446.2142650761 52672.7057739498 26471.4358304791 52717.231685945 26505.5866425978 52587.4487260467 26320.645058274 52256.7112166621 119113 238364
SLiM_0_sum.txt 0.9 0.207 0.3823 0.4023 0.5977 0.6865 25804 50741 25678.5983930989 50802.6771010096 25646.9414368296 50832.9204378834 25682.4944384048 50754.7187451409 25690.7855416788 50646.2646363552 124079 248246
SLiM_0_sum.txt_boot_001.txt 0 0.02 0.2188 0.34 0.66 0.86 26486 52888 26440.6275341779 52822.7625504071 26507.2114285698 52756.8130612455 26463.727346944 52173.3910204038 25972.9275756615 51240.0311474799 117890 235170
SLiM_0_sum.txt_boot_001.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.8559 26591 52855 26461.5743385275 52815.3910964695 26509.0603153018 52754.3166449977 26471.1960395864 52148.3983286454 25949.0518264363 51018.406056184 117952 235302
SLiM_0_sum.txt_boot_001.txt 0.25 0.0268 0.2326 0.3423 0.6577 0.8485 26388 52935 26429.3992849531 52819.9578241184 26505.2757238691 52783.3676642498 26518.8251679494 52234.8663041627 26467.6610729316 51731.7805200801 118047 235494
SLiM_0_sum.txt_boot_001.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 26423 53012 26433.8084915299 52814.500451435 26489.4601973158 52772.6382097083 26525.7255996275 52358.408320889 26533.9124719075 52053.7890920371 118412 236162
SLiM_0_sum.txt_boot_001.txt 0.75 0.0836 0.3022 0.3612 0.6388 0.7829 26289 52643 26431.4538997188 52811.3338568791 26474.738060399 52843.0452825394 26535.6386291923 52533.0044231591 26512.451602105 52460.6376904199 119597 238422
SLiM_0_sum.txt_boot_001.txt 0.9 0.2067 0.3821 0.4022 0.5978 0.6867 25402 51119 25461.9189576473 50985.9005953199 25453.9109890093 50995.8998501379 25604.9126262629 50789.2147685628 25778.2631919882 50680.1064857606 124541 248463
SLiM_0_sum.txt_boot_002.txt 0 0.02 0.2188 0.34 0.66 0.86 26312 52740 26371.4188293778 52538.5603529493 26550.7273469372 52660.1755102265 26451.6808163312 52301.6612244847 25904.3868905571 51519.5752613421 117589 235278
SLiM_0_sum.txt_boot_002.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.856 26322 52585 26388.5621090237 52539.4736593798 26548.1127006493 52670.2443521212 26454.084584816 52358.7186329184 25959.9376104062 51756.1838406276 117639 235377
SLiM_0_sum.txt_boot_002.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 26274 52495 26363.7322181473 52488.3216191569 26550.2998766191 52643.2548386816 26487.1301021224 52256.5766793197 25930.6802673857 51366.7531367457 117768 235657
SLiM_0_sum.txt_boot_002.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 26173 52205 26412.1284305629 52460.4133177192 26575.7021391659 52618.992414879 26478.9012245564 52393.2937022554 26018.5630139103 52043.3960314963 118118 236295
SLiM_0_sum.txt_boot_002.txt 0.75 0.0835 0.3021 0.3612 0.6388 0.783 26210 52299 26487.9533261807 52527.4673377543 26560.8576673896 52619.6446689145 26572.9477334411 52463.0096368673 26460.7126408267 52140.3794767103 119267 238646
SLiM_0_sum.txt_boot_002.txt 0.9 0.2066 0.3821 0.4022 0.5978 0.6868 25404 50720 25515.3515532809 50876.8563936469 25528.480296989 50932.9071178692 25575.1742141847 50769.7103923834 25633.6343812583 50597.4148340573 124370 248507
SLiM_0_sum.txt_boot_003.txt 0 0.02 0.2188 0.34 0.66 0.86 26067 52899 26258.2291089467 52776.9955036837 26424.6832653047 52849.5273469597 26274.2146938824 52376.7175510155 26039.3456789085 51100.4235428531 117454 234875
SLiM_0_sum.txt_boot_003.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.8559 26031 52932 26263.3752080246 52779.1571383449 26420.1202828017 52850.0694590102 26282.506436414 52386.2131111942 25979.5571250424 51025.1517117861 117511 234996
SLiM_0_sum.txt_boot_003.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 25967 52773 26290.4984730962 52743.3967250408 26426.1787350923 52833.8646286911 26289.9215418207 52421.0076985844 25846.057645138 51204.473769508 117628 235207
SLiM_0_sum.txt_boot_003.txt 0.5 0.0406 0.2548 0.3469 0.6531 0.829 26030 52673 26301.473989637 52756.7388021715 26432.5572073195 52812.9552398404 26365.4024059776 52510.0540859211 26331.5709270593 51619.0333254129 117968 235904
SLiM_0_sum.txt_boot_003.txt 0.75 0.0833 0.302 0.3611 0.6389 0.7831 25962 52738 26305.8087845201 52755.4608166564 26421.1762400167 52799.6961323413 26262.727923114 52726.5203656594 26014.7623697497 52389.128170195 119159 238187
SLiM_0_sum.txt_boot_003.txt 0.9 0.2066 0.3821 0.4022 0.5978 0.6868 25271 50963 25465.6373225275 50914.902504284 25494.5325258059 50914.7846542222 25591.8328477082 50742.8072316552 25613.8502925759 50627.0456758108 124059 248141
SLiM_0_sum.txt_boot_004.txt 0 0.02 0.2188 0.34 0.66 0.86 26717 52567 26455.8087984566 52747.5259906716 26463.71020408 52845.1836734893 26331.8408163313 52313.2653061175 26094.9002496327 51234.2521300431 117242 234525
SLiM_0_sum.txt_boot_004.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.856 26670 52428 26454.8444106092 52723.2344569732 26471.2881181446 52847.9375613678 26351.4639034402 52305.9347313314 26021.1722061611 50955.743411682 117296 234654
SLiM_0_sum.txt_boot_004.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 26431 52592 26418.0010004851 52763.0642280547 26469.5924585901 52855.1616118789 26332.4698584345 52337.5461389779 25999.3888729685 51431.117416897 117424 234866
SLiM_0_sum.txt_boot_004.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 26539 53039 26415.3281681956 52865.5569090412 26462.8931390978 52842.4800201063 26306.8439377628 52411.7968647964 25978.6123631396 51654.4686829447 117799 235600
SLiM_0_sum.txt_boot_004.txt 0.75 0.0834 0.302 0.3611 0.6389 0.783 26395 52676 26462.4131067815 52791.6678736422 26498.1860364045 52877.1579268732 26427.8977875446 52531.3241871553 26262.025144236 52108.8935788422 118940 237911
SLiM_0_sum.txt_boot_004.txt 0.9 0.2068 0.3822 0.4023 0.5977 0.6866 25724 50877 25635.2720160225 50936.5330631852 25611.5804501036 51006.4140720265 25661.8501748257 50801.4484987207 25747.5971153578 50593.8182036424 123864 247903
SLiM_0_sum.txt_boot_005.txt 0 0.02 0.2188 0.34 0.66 0.86 26465 52732 26320.0704354939 52567.8066120749 26306.986938774 52663.6653061446 26328.2375510254 52256.742857138 26108.0469405036 51190.9736411802 117231 234822
SLiM_0_sum.txt_boot_005.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.8559 26474 52865 26317.6762856043 52585.2934821745 26305.9214290654 52657.7659520484 26354.7095122615 52256.2250403691 26123.0358130041 51212.7022453073 117288 234956
SLiM_0_sum.txt_boot_005.txt 0.25 0.0268 0.2326 0.3423 0.6577 0.8485 26428 52830 26322.4588832995 52597.4154802195 26312.4049795126 52670.0181438836 26355.852281107 52277.9047928246 26390.3400125249 51359.592097704 117408 235171
