scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.i20.Syn Theta.i20.NSyn Theta.i40.Syn Theta.i40.NSyn Theta.i60.Syn Theta.i60.NSyn Theta.i80.Syn Theta.i80.NSyn Theta.i100.Syn Theta.i100.NSyn Div.Syn Div.Nsyn
SLiM_0_sum.txt 0 0.1 0.29 0.49 0.69 0.89 26296.4444444527 52594.5555556124 26669.7999999981 52832.9000000063 26459.8999999991 52911.1000000032 26617.3999999994 53052.6000000023 26318.7999999995 51612.400000002 117368 234975
SLiM_0_sum.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 26233.2420634961 52539.7956349432 26636.3341269873 53065.5047619143 26445.6087301599 52539.5948412739 26684.6793650803 52873.0289682571 26379.8519841273 51931.1682539701 117419 235090
SLiM_0_sum.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 26357.0404761885 52656.9869047552 26672.5603174594 52857.3698412692 26522.9142857142 52616.9694444433 26530.7706349204 53018.048015872 26421.782936508 51924.8992063493 117551 235305
SLiM_0_sum.txt 0.5 0.1081 0.296 0.4959 0.6959 0.8878 26347.7261904729 52514.46190477 26634.4309523797 52993.2940476248 26298.8904761901 53094.5916666676 26425.0619047615 52690.8380952385 26639.3928571428 52168.8000000003 117895 235994
SLiM_0_sum.txt 0.75 0.1167 0.292 0.4919 0.6919 0.8752 26039.2833333338 52314.9333333314 26087.7166666672 52400.8499999975 26681.45 52940.6333333338 26426.5666666666 52260.1833333334 26365.7500000001 51659.4499999996 119119 238370
SLiM_0_sum.txt 0.9 0.1432 0.3066 0.4977 0.6888 0.8545 9947 20380.3333333333 10067.8333333333 20098.5 10188.6666666667 20295 10338.1666666667 20377.3333333333 10013 19862 124017 248315
SLiM_0_sum.txt_boot_001.txt 0 0.1 0.29 0.49 0.69 0.89 26282.8888888972 52912.5555556112 26799.5999999981 53025.8000000061 26470.3999999991 52682.7000000034 26739.1999999994 52470.4000000023 26114.9999999997 51278.8000000019 117890 235170
SLiM_0_sum.txt_boot_001.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 26316.1686507978 52823.2817460538 26715.883730162 53068.9384920728 26599.4095238107 52683.6734127025 26580.461111112 52480.0500000033 26173.9170634922 51268.3928571447 117941 235287
SLiM_0_sum.txt_boot_001.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.8919 26208.7603174584 53018.7694444375 26701.3718253959 53149.2992063483 26751.8039682538 52231.5178571419 26698.6103174602 52604.0023809513 25956.8750000002 51344.8996031745 118074 235531
SLiM_0_sum.txt_boot_001.txt 0.5 0.1081 0.296 0.4959 0.6959 0.8878 26238.1357142825 52767.0285714366 26783.9178571415 53217.9535714345 26657.5952380948 52961.2071428584 26343.1678571426 52200.6250000007 26348.3238095237 51172.9976190479 118447 236258
SLiM_0_sum.txt_boot_001.txt 0.75 0.1167 0.2921 0.4919 0.6917 0.8752 25946.7833333339 52587.4833333312 26222.4000000006 52724.5833333312 26792.8499999999 52102.016666667 26279.5 51980.6666666669 26163.5333333334 51615.6999999996 119604 238496
SLiM_0_sum.txt_boot_001.txt 0.9 0.1432 0.3066 0.4977 0.6888 0.8545 10018.5 20309.6666666667 9991.83333333333 20246 10152.1666666667 20362.6666666667 10081.3333333333 19968.8333333333 10021 20414.5 124555 248382
SLiM_0_sum.txt_boot_002.txt 0 0.1 0.29 0.49 0.69 0.89 26348.1111111189 52403.8888889465 26669.6999999979 52856.4000000064 26579.8999999988 52897.600000003 26954.8999999993 53113.2000000023 25938.0999999995 51125.8000000018 117589 235278
SLiM_0_sum.txt_boot_002.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 26365.6587301627 52469.065476213 26678.1801587335 52830.4091269942 26553.8563492076 52623.5845238139 26900.9611111121 53068.334920638 25922.8853174606 51384.1940476208 117652 235384
SLiM_0_sum.txt_boot_002.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 26348.8174603156 52464.9845238024 26701.6615079357 52879.998412698 26408.4313492062 52999.4464285702 27110.7107142855 52890.484920634 25772.9333333336 50890.2908730158 117774 235659
SLiM_0_sum.txt_boot_002.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8878 26266.8976190444 52458.400000008 26694.433333332 52912.4035714347 26593.0619047615 52607.0166666676 26820.5595238093 52861.9214285721 26206.357142857 51160.7595238097 118131 236380
