scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.FuLi.Syn Theta.FuLi.Nsyn Theta.Watt.Syn Theta.Watt.Nsyn Theta.Taji.Syn Theta.Taji.Nsyn Theta.FayWu.Syn Theta.FayWu.Nsyn Theta.vhf.Syn Theta.vhf.Nsyn Div.Syn Div.Nsyn
SLiM_04_sum.txt_boot_001.txt 0.9 0.205 0.3813 0.4017 0.5983 0.6879 35681 43192 30271.8296881427 37176.1668640924 29447.6758408231 36036.1253036163 25554.0154900661 33067.3043250877 24372.5348366175 32976.4606688685 121716 284862
SLiM_04_sum.txt_boot_002.txt 0 0.02 0.2188 0.34 0.66 0.86 54387 76866 38739.0143772486 50106.879021676 30465.1363265349 37526.629387764 24469.6391836765 36803.0440816328 24597.7464109239 50606.1468376954 115264 273842
SLiM_04_sum.txt_boot_002.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 53861 75430 38350.1629310888 49450.0213275456 30456.2677827565 37529.7820337976 24482.5100804287 36673.3013844324 24550.4377521359 49700.1493860976 115324 273993
SLiM_04_sum.txt_boot_002.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 52854 72911 37720.8386184458 48390.455503461 30469.3364760928 37538.6634921372 24470.9122518244 36401.4743244465 24470.4607922184 47726.5880845088 115449 274300
SLiM_04_sum.txt_boot_002.txt 0.5 0.0405 0.2546 0.3468 0.6532 0.8291 50301 67006 36239.3210032452 45961.809070451 30430.5446348859 37518.1605160009 24575.5214307702 35706.0558822674 24394.5029252275 43905.8121136575 115797 275136
SLiM_04_sum.txt_boot_002.txt 0.75 0.083 0.3016 0.361 0.639 0.7834 44876 56806 33809.9811636728 42165.2222628369 30489.7536451179 37515.5172465535 24851.0804039611 34583.6897991981 24032.2462635935 37827.3232274468 116898 277291
SLiM_04_sum.txt_boot_002.txt 0.9 0.2055 0.3815 0.4018 0.5982 0.6875 35528 43374 30254.4449121176 37472.8798526899 29416.8347826986 36334.6507735711 25570.6954676048 33592.8860118646 24440.5078980404 33571.4729159901 121885 284367
SLiM_04_sum.txt_boot_003.txt 0 0.02 0.2188 0.34 0.66 0.86 54296 76752 38551.481112626 50069.149114865 30195.4873469424 37525.408163275 24081.8187755131 37363.8571428563 24139.379551713 52453.574698069 115419 274609
SLiM_04_sum.txt_boot_003.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 53874 75439 38195.1225926713 49471.1404661755 30198.3370622757 37535.7989998433 24066.1682155263 37215.1498323938 23893.416797032 51277.5644550492 115495 274768
SLiM_04_sum.txt_boot_003.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 52690 72610 37505.9633578012 48306.4931810125 30180.7963824902 37521.3089110434 24100.9514716328 36851.1615770517 23744.468670737 48972.5241216298 115586 275129
SLiM_04_sum.txt_boot_003.txt 0.5 0.0405 0.2546 0.3468 0.6532 0.8291 50216 66942 36028.6311460186 45972.9530965855 30194.9897511931 37534.0089248141 24211.5554631365 36246.0021205882 23579.023736921 45007.694958207 115929 275940
SLiM_04_sum.txt_boot_003.txt 0.75 0.0829 0.3015 0.361 0.639 0.7835 44782 56681 33561.3270899765 42192.0592724706 30189.0350791312 37520.2528993492 24636.3165405466 34875.2394590548 23763.4967678348 38421.0031354131 116938 278239
SLiM_04_sum.txt_boot_003.txt 0.9 0.2045 0.3811 0.4015 0.5985 0.6882 35225 43278 29903.1689339304 37405.6620812874 29067.3593933819 36275.4737567973 25202.0704600962 33549.1015567772 24013.6320613244 33553.567041508 121923 285460
