scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.i20.Syn Theta.i20.NSyn Theta.i40.Syn Theta.i40.NSyn Theta.i60.Syn Theta.i60.NSyn Theta.i80.Syn Theta.i80.NSyn Theta.i100.Syn Theta.i100.NSyn Div.Syn Div.Nsyn
SLiM_04_sum.txt 0 0.1 0.29 0.49 0.69 0.89 40926.8888889322 49681.2222222427 26795.1999999978 31137.2999999989 23697.5000000002 28968.0999999989 23172.5000000006 30495.5999999992 23532.1000000005 46850.400000005 115213 274805
SLiM_04_sum.txt 0.1 0.1045 0.2978 0.4977 0.6977 0.8932 40491.5714285888 49110.5833333436 26546.4440476226 30974.9916666715 23772.5773809532 28991.2789682556 23134.2738095241 30661.1706349222 23598.5424603173 46866.0587301603 115258 274981
SLiM_04_sum.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 40559.8396825318 49276.1138888797 26827.2305555545 31106.9892857128 23800.4321428571 29098.2162698411 22861.2916666666 30548.3694444442 23677.3626984128 46328.3468253976 115384 275250
SLiM_04_sum.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8878 40562.2309523837 49353.3071428683 27237.5452380942 31974.9357142844 24070.246428571 29143.5595238091 23221.1999999998 30832.4940476186 23182.5357142857 44285.2190476191 115728 276081
SLiM_04_sum.txt 0.75 0.1166 0.292 0.492 0.6919 0.8754 40667.2999999993 49981.299999998 28579.3000000006 33464.9500000004 23986.0833333333 29576.1666666666 23529.2833333333 30747.2333333332 23064.9000000001 39932.0999999998 116765 278301
SLiM_04_sum.txt 0.9 0.1429 0.3062 0.4977 0.6892 0.8548 15205.5 18962.8333333333 11421 13306.8333333333 9648.5 11636 9256.83333333333 12008.3333333333 8980.66666666667 13945.5 121634 285567
SLiM_04_sum.txt_boot_001.txt 0 0.1 0.29 0.49 0.69 0.89 40927.6666667103 49361.8888889111 26852.3999999982 30918.5999999989 24022.1000000001 29050.7999999989 23279.8000000006 30516.9999999991 23686.2000000005 46842.5000000052 115138 274169
SLiM_04_sum.txt_boot_001.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 40547.2003968423 48768.6805555662 26617.63650794 30810.4496031796 23932.7015873024 29003.062301589 23174.9313492068 30772.1214285729 23868.4555555556 47008.7658730175 115192 274324
SLiM_04_sum.txt_boot_001.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 40534.1646825317 48970.4269841178 26739.4821428562 31068.5146825383 24000.6055555556 28865.8154761903 23461.9861111111 30882.4492063489 23610.2083333336 46261.1261904771 115307 274606
SLiM_04_sum.txt_boot_001.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8878 40856.45714286 49365.5702381071 27144.7749999987 31422.9988095225 24044.7488095235 29203.66547619 23377.2119047616 31143.9440476186 23914.15 43599.5166666668 115624 275503
SLiM_04_sum.txt_boot_001.txt 0.75 0.1166 0.292 0.4919 0.6918 0.8753 40495.2499999994 49558.1666666645 28948.8166666673 33063.8833333339 24441.7166666666 29439.1333333332 23491.6 30946.6499999998 23417.3500000001 40710.8499999998 116710 277538
SLiM_04_sum.txt_boot_001.txt 0.9 0.1429 0.3062 0.4977 0.6892 0.8548 15192.1666666667 18870 11291.5 13488 9941 11977.1666666667 9309.5 12157.1666666667 9284 13792.6666666667 121711 284826
SLiM_04_sum.txt_boot_002.txt 0 0.1 0.29 0.49 0.69 0.89 40871.3333333761 49861.6666666851 27155.4999999979 31006.1999999989 23596.3000000004 29050.899999999 23129.4000000005 30919.3999999992 23924.8000000006 46255.7000000051 115264 273842
SLiM_04_sum.txt_boot_002.txt 0.1 0.1045 0.2978 0.4977 0.6977 0.8932 40560.8035714455 49342.1507936608 26900.5654761942 30852.3019841319 23604.3559523817 28975.9492063509 22986.6595238099 30955.5523809539 24125.8059523809 46631.3662698428 115312 273998
SLiM_04_sum.txt_boot_002.txt 0.25 0.1053 0.2973 0.4973 0.6973 0.892 40602.778571421 49432.3142857048 27159.4650793641 31109.337301586 23541.1388888889 29059.0797619045 23155.3039682539 30958.1325396823 23834.8646825399 45680.6174603181 115435 274297
SLiM_04_sum.txt_boot_002.txt 0.5 0.1081 0.2959 0.4959 0.696 0.8879 40640.1214285743 49774.5023809643 27605.5333333322 31617.6619047609 23828.833333333 29205.4749999997 23071.8023809521 31391.9488095234 23720.6214285714 43380.3523809526 115802 275124
SLiM_04_sum.txt_boot_002.txt 0.75 0.1165 0.2919 0.4919 0.6919 0.8754 40823.4666666659 50013.7333333311 28534.9333333339 33109.6833333338 24251.4666666666 29452.85 23324.9333333333 31268.4499999999 23077.7500000001 39693.8333333332 116858 277283
SLiM_04_sum.txt_boot_002.txt 0.9 0.1427 0.3062 0.4976 0.6889 0.8548 15220 19073.6666666667 11024.1666666667 13139.3333333333 9595.16666666667 11893 9301 11783.3333333333 8980 14145.5 121754 284581
SLiM_04_sum.txt_boot_003.txt 0 0.1 0.29 0.49 0.69 0.89 40984.7777778213 49824.8888889095 26277.9999999979 31102.7999999988 23661.4000000002 28763.3999999986 22839.3000000007 30582.2999999991 23314.4000000006 48187.800000005 115419 274609
SLiM_04_sum.txt_boot_003.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 40483.5912698585 49267.8849206457 26192.2527777814 31008.1226190525 23705.7063492071 28804.2420634938 22801.8178571432 30681.8182539697 23321.8595238095 48155.8547619066 115470 274791
