scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.FuLi.Syn Theta.FuLi.Nsyn Theta.Watt.Syn Theta.Watt.Nsyn Theta.Taji.Syn Theta.Taji.Nsyn Theta.FayWu.Syn Theta.FayWu.Nsyn Theta.vhf.Syn Theta.vhf.Nsyn Div.Syn Div.Nsyn
SLiM_06_sum.txt 0 0.02 0.2188 0.34 0.66 0.86 24184 37147 23717.1533733517 30609.2241020069 23537.7836734658 27717.3608163279 23268.9510204122 31170.9248979645 23640.0596207153 39901.1889710321 119991 278573
SLiM_06_sum.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.8559 24148 36798 23706.0611952402 30485.7607565475 23531.3094947007 27722.3648796271 23265.8508141692 31128.9846186715 23583.3034621188 39831.3235571262 120046 278660
SLiM_06_sum.txt 0.25 0.0268 0.2326 0.3423 0.6577 0.8485 24080 35993 23673.2511781717 30202.0397940822 23549.6607742945 27712.0054544103 23274.611048075 30924.858565571 23576.7574228219 38566.5953219624 120154 278915
SLiM_06_sum.txt 0.5 0.0406 0.2548 0.3469 0.6531 0.829 23870 33992 23665.9291737712 29593.8628902066 23555.7356192207 27737.1103523127 23177.8970193329 30410.3566370283 23317.2093483128 36234.3324907977 120512 279542
SLiM_06_sum.txt 0.75 0.0835 0.3021 0.3612 0.6388 0.783 23674 31265 23569.0289700128 28647.9870585705 23507.0214928327 27635.7185283898 23353.5983783591 29209.5737283461 23547.0432477071 31860.2095262011 121493 281375
SLiM_06_sum.txt 0.9 0.2059 0.3818 0.402 0.598 0.6872 22839 28135 22655.4278759718 27179.5200521466 22631.9371017858 26912.1789488265 22470.6884726387 27163.1310522813 22416.1250234583 27753.022431431 125971 287197
SLiM_06_sum.txt_boot_001.txt 0 0.02 0.2188 0.34 0.66 0.86 24125 37309 23654.8655390316 30694.0605788586 23473.2163265271 27854.5102040836 23282.8653061263 31391.8163265361 23847.4802919586 40314.2458470681 120322 278821
SLiM_06_sum.txt_boot_001.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.8559 24081 36837 23639.9046050742 30527.6770565037 23464.3968914574 27851.8443821589 23250.6850731299 31262.8177983312 23624.2538051972 39337.2706193458 120385 278959
SLiM_06_sum.txt_boot_001.txt 0.25 0.0268 0.2326 0.3423 0.6577 0.8485 23973 35989 23606.4758943247 30282.7324857715 23459.5298526149 27857.3817002885 23266.3432446577 31117.6009085242 23523.1181640901 38734.7935262397 120509 279159
SLiM_06_sum.txt_boot_001.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 24012 34087 23625.3394903781 29669.2617431864 23495.8375865016 27816.2389455445 23260.7595557318 30633.9211285092 23428.7959548846 36480.7486667102 120825 279800
SLiM_06_sum.txt_boot_001.txt 0.75 0.0834 0.302 0.3611 0.6389 0.7831 23728 31492 23493.4473963412 28871.4671032488 23438.822754739 27836.7463034336 23158.1389692051 29689.4054200547 22890.3766815549 32774.5388528639 121902 281527
SLiM_06_sum.txt_boot_001.txt 0.9 0.2065 0.382 0.4022 0.5978 0.6868 22798 27833 22682.2990612566 27161.445326053 22656.7644522132 26934.9162254394 22523.3795704298 27384.5205433456 22483.6471566145 27966.1579385181 126244 287499
SLiM_06_sum.txt_boot_002.txt 0 0.02 0.2188 0.34 0.66 0.86 24201 37206 23611.107777287 30535.5503194778 23356.237551017 27598.220408165 23103.313469392 30926.6775510259 23455.863080326 39974.787974069 120012 278759
SLiM_06_sum.txt_boot_002.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.8559 24141 36705 23591.1435864727 30376.7236407443 23361.7946799745 27593.6711621011 23110.3067882437 30828.080243816 23449.838207957 39531.9593303197 120060 278874
SLiM_06_sum.txt_boot_002.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 24109 35647 23563.0776025445 30086.843681161 23338.1167496301 27603.3338059903 23089.0169521021 30624.6772207368 23503.9094885385 38389.5659245932 120169 279109
SLiM_06_sum.txt_boot_002.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 24113 33838 23529.7156314085 29492.8332857485 23358.0796755605 27597.7652078083 23059.3997586781 30184.4643836825 23176.6243239116 36160.3950517551 120505 279737
SLiM_06_sum.txt_boot_002.txt 0.75 0.0834 0.302 0.3611 0.6389 0.783 23758 31426 23448.3262168589 28713.1245677 23365.4760091427 27621.7251112504 23019.8247774138 29181.087867336 22951.5985394518 32438.6993934851 121553 281454
SLiM_06_sum.txt_boot_002.txt 0.9 0.2062 0.3819 0.4021 0.5979 0.687 22558 27874 22442.2612455764 26964.3277277041 22446.6592335758 26697.0124914282 22257.6932334009 26966.6421833071 22131.7811903235 27546.9300520907 125903 287314
SLiM_06_sum.txt_boot_003.txt 0 0.02 0.2188 0.34 0.66 0.86 24157 37415 23811.1432595479 30750.7670660174 23659.6106122412 27774.4702040833 23285.4097959224 30892.0604081685 23906.3772035424 39116.1843429199 119682 278107
SLiM_06_sum.txt_boot_003.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.856 24226 36950 23810.3692391781 30599.3903520553 23660.6005624969 27781.4587084495 23280.4777082681 30826.7592779959 23765.45523341 38834.499390522 119726 278202
SLiM_06_sum.txt_boot_003.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 24198 36289 23797.8830043605 30319.5836346474 23644.2879653902 27757.4566053768 23261.7177857068 30721.440317607 23427.3243444669 38653.788789184 119854 278403
SLiM_06_sum.txt_boot_003.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 24032 34253 23717.2707385557 29686.9692000674 23624.9972773072 27766.9745255025 23243.64007713 30178.038185158 23628.3624441033 35930.4014977237 120188 279082
SLiM_06_sum.txt_boot_003.txt 0.75 0.0836 0.3022 0.3612 0.6388 0.7829 23891 31541 23703.685830343 28845.7415693786 23675.3771551387 27777.3426287296 23286.7726892701 29153.5229119938 23181.9737419923 32015.3800874245 121229 280790
SLiM_06_sum.txt_boot_003.txt 0.9 0.2067 0.3821 0.4022 0.5978 0.6867 22997 27871 22936.0763624842 27080.962247457 22946.4847660067 26823.0683834119 22825.9467774488 27100.6261748059 22701.63475668 27721.0948508742 125563 286600
SLiM_06_sum.txt_boot_004.txt 0 0.02 0.2188 0.34 0.66 0.86 24160 36982 23643.2563369361 30718.3952524819 23433.9559183637 27811.7053061242 23273.2277551062 31389.3967346991 24119.8209994798 40499.6285745627 120339 279013
SLiM_06_sum.txt_boot_004.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.856 24200 36410 23649.2959369017 30545.2854218561 23439.3750288975 27814.3562504453 23270.2683309618 31308.9351788025 24193.2436850186 40198.9257449865 120395 279115
SLiM_06_sum.txt_boot_004.txt 0.25 0.0268 0.2326 0.3423 0.6577 0.8485 23947 35626 23588.5913851749 30318.9598022402 23440.2532737136 27851.2553047391 23222.8842706024 31078.2999171627 23782.5274384767 38935.1615001441 120516 279363
SLiM_06_sum.txt_boot_004.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 23691 34083 23575.5328382088 29739.6094433809 23443.3719844508 27808.425807963 23207.3632856092 30587.3345855267 23438.2859963111 36711.1369964076 120857 279983
SLiM_06_sum.txt_boot_004.txt 0.75 0.0833 0.3019 0.3611 0.6389 0.7832 23669 31316 23511.5539503201 28788.522417643 23451.6385136878 27753.7458828608 23155.9192420074 29490.5973307663 23082.7596120096 32408.6231474214 121858 281834
SLiM_06_sum.txt_boot_004.txt 0.9 0.2063 0.382 0.4021 0.5979 0.687 22724 27755 22668.2005989699 27004.1887785821 22675.0519526211 26735.8063686294 22439.0331872378 27165.0557359306 22297.5379465851 27875.841556704 126281 287723
SLiM_06_sum.txt_boot_005.txt 0 0.02 0.2188 0.34 0.66 0.86 24297 37139 23895.7564825131 30623.5123507399 23745.0236734654 27699.9379591854 23568.6089795959 31281.6946938828 23917.8986035682 40411.5337297834 120168 278524
SLiM_06_sum.txt_boot_005.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.8559 24231 36604 23879.9823054972 30445.8283350733 23757.9548220265 27692.8562125193 23579.8187223272 31184.2622173463 23870.9734262453 39855.7473944481 120223 278640
