scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.i20.Syn Theta.i20.NSyn Theta.i40.Syn Theta.i40.NSyn Theta.i60.Syn Theta.i60.NSyn Theta.i80.Syn Theta.i80.NSyn Theta.i100.Syn Theta.i100.NSyn Div.Syn Div.Nsyn
SLiM_06_sum.txt 0 0.1 0.29 0.49 0.69 0.89 23699.1111111132 29533.8888889143 23781.0000000008 25639.5999999985 23511.8000000008 25773.7999999995 22953.5000000005 28238.0999999991 23101.0000000006 38044.2999999998 119991 278573
SLiM_06_sum.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 23766.6349206369 29407.9365079471 23717.3607142879 25727.9305555585 23545.1420634928 25598.950000001 22898.9182539686 28458.2150793662 23149.8265873015 38294.7039682548 120044 278668
SLiM_06_sum.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 23665.7630952375 29506.1265872966 23687.6924603169 25746.186904761 23423.257936508 25659.1265873015 23033.5126984126 28400.5523809522 23139.6785714288 37732.6503968259 120159 278915
SLiM_06_sum.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8878 23751.8333333303 29486.1023809488 23754.8273809513 25764.6428571416 23319.5547619044 25875.76547619 22977.0999999998 28353.9690476187 23412.6785714285 36485.5761904761 120460 279560
SLiM_06_sum.txt 0.75 0.1167 0.292 0.492 0.692 0.8753 23548.5333333336 29572.3500000008 23473.7000000006 26010.3666666673 23092.9 25808.0999999999 22618.8833333333 27315.2333333333 22857.25 34425.75 121589 281340
SLiM_06_sum.txt 0.9 0.1433 0.3067 0.4978 0.6889 0.8545 9195.83333333333 11353.6666666667 9095.5 10064.3333333333 9324.33333333333 10100 8832.33333333333 10573 8880 12231 125883 287063
SLiM_06_sum.txt_boot_001.txt 0 0.1 0.29 0.49 0.69 0.89 23647.4444444464 29422.777777803 23519.700000001 25982.0999999981 23605.3000000008 25683.8999999995 23101.5000000006 28992.399999999 23043.2000000006 38014.5999999997 120322 278821
SLiM_06_sum.txt_boot_001.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 23638.5019841289 29367.4563492168 23544.868650796 25924.6777777808 23389.8376984133 25767.3924603186 23022.6067460322 29044.5313492076 23251.3396825396 38218.5404761912 120376 278922
SLiM_06_sum.txt_boot_001.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 23704.7996031742 29343.2186507888 23465.7277777773 26239.4246031737 23507.5281746032 25426.4567460317 23202.0353174603 29215.6091269839 22979.2797619049 37655.9000000005 120494 279171
SLiM_06_sum.txt_boot_001.txt 0.5 0.1081 0.2959 0.496 0.696 0.8878 23687.6499999972 29377.2428571391 23521.9261904751 26299.8428571415 23465.1214285711 25649.6333333329 23076.5785714283 29062.1880952377 22943.5166666667 36354.7809523809 120833 279822
