scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.FuLi.Syn Theta.FuLi.Nsyn Theta.Watt.Syn Theta.Watt.Nsyn Theta.Taji.Syn Theta.Taji.Nsyn Theta.FayWu.Syn Theta.FayWu.Nsyn Theta.vhf.Syn Theta.vhf.Nsyn Div.Syn Div.Nsyn
SLiM_02_sum.txt 0 0.02 0.2188 0.34 0.66 0.86 25910 51534 25623.964817537 52659.5639594081 25479.1959183646 52884.3991837079 25493.9877551071 58877.2742857057 26079.0493324728 67794.6190904623 117706 396630
SLiM_02_sum.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 25825 51608 25607.1076878889 52703.8322199093 25491.0073130598 52903.3105876248 25504.6113262973 58804.8761158777 26011.4189109156 67181.187560304 117768 396794
SLiM_02_sum.txt 0.25 0.0268 0.2326 0.3423 0.6577 0.8485 25591 51358 25563.7621632389 52662.7236699723 25471.2952775862 52896.6890725508 25485.7843283611 58563.1187184079 25785.6393557597 66193.8629021063 117886 397176
SLiM_02_sum.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 25745 52019 25614.9776617268 52797.5815050389 25500.9974356457 52878.3455081268 25524.3827740448 57988.3119516319 25851.1751662768 64037.3013694667 118215 398192
SLiM_02_sum.txt 0.75 0.0833 0.3019 0.3611 0.6389 0.7831 25702 51692 25537.6642991923 52892.0593369045 25507.844689591 52983.3341962541 25500.3907990953 56974.0098259584 25644.3753643662 60500.5248278838 119391 401227
SLiM_02_sum.txt 0.9 0.2065 0.3821 0.4022 0.5978 0.6868 24625 50467 24502.8306066827 51395.0115454593 24476.9340825826 51390.6206941643 24476.8618492621 53238.8047359472 24436.3646927346 54350.7644601455 124204 412168
SLiM_02_sum.txt_boot_001.txt 0 0.02 0.2188 0.34 0.66 0.86 25686 51211 25489.5659778929 52581.4250991487 25467.4081632624 52910.217959218 25548.6326530664 58987.2922448897 25918.3270088847 68382.2048135884 117171 395566
SLiM_02_sum.txt_boot_001.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 25633 51150 25468.1712135563 52581.9389853999 25462.1763816496 52913.1798909194 25550.1921055403 58888.460804592 26070.3540159095 68005.7299561639 117226 395733
SLiM_02_sum.txt_boot_001.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 25568 51273 25468.4259157514 52651.9310783782 25481.6433023432 52908.6421091186 25522.1318322623 58676.4606157256 25494.339708861 66912.3343107309 117351 396105
SLiM_02_sum.txt_boot_001.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 25384 51314 25436.7223432104 52730.0441264 25453.8547807587 52951.4069339238 25525.1989869475 58057.402479938 25709.736424568 64287.4131178842 117710 397169
