scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.i20.Syn Theta.i20.NSyn Theta.i40.Syn Theta.i40.NSyn Theta.i60.Syn Theta.i60.NSyn Theta.i80.Syn Theta.i80.NSyn Theta.i100.Syn Theta.i100.NSyn Div.Syn Div.Nsyn
SLiM_02_sum.txt 0 0.1 0.29 0.49 0.69 0.89 25691.6666666731 51334.6666667261 25434.0999999991 51576.300000006 25171.2999999997 52849.7000000038 25552.7999999997 56984.0000000032 25603.5999999999 66204.9000000016 117706 396630
SLiM_02_sum.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 25672.8333333369 51213.6448412931 25409.7035714314 51685.8948412802 25305.8432539693 53057.4873015917 25354.9841269849 57166.3432539717 25687.7845238097 66151.6273809548 117772 396804
SLiM_02_sum.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 25660.9841269826 51484.7555555481 25544.598809523 51594.27063492 25296.7634920635 52828.8630952367 25253.819047619 57244.521031745 25764.9853174605 65832.2718253966 117873 397163
SLiM_02_sum.txt 0.5 0.1081 0.2959 0.496 0.696 0.8878 25756.338095235 51238.688095245 25234.5714285701 51475.2678571482 25539.7428571424 53255.4904761915 25135.1440476188 56970.8404761915 25470.0261904761 65143.2142857146 118301 398122
SLiM_02_sum.txt 0.75 0.1168 0.2921 0.4921 0.692 0.8753 25367.9166666671 51131.0666666648 25314.9500000006 50969.7333333307 25212.6999999999 52533.0833333337 25274.7 55702.3166666668 25473.1666666667 62240.0999999997 119396 401244
SLiM_02_sum.txt 0.9 0.1431 0.3063 0.4977 0.6891 0.8546 9850 19890.3333333333 9701.83333333333 19902.5 9914 19941 9436.66666666667 21420.8333333333 9653 23492.5 124173 412123
SLiM_02_sum.txt_boot_001.txt 0 0.1 0.29 0.49 0.69 0.89 25550.8888888945 51319.111111173 25418.3999999994 51892.800000006 25158.6999999995 52684.3000000036 25916.3999999996 56737.9000000035 25499.9999999999 66646.7000000012 117171 395566
SLiM_02_sum.txt_boot_001.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 25481.6964285744 51374.6845238335 25385.6365079391 51842.2432539786 25282.8369047629 52970.7833333376 25746.0956349215 56677.5238095272 25599.4198412701 66757.6932539703 117232 395749
SLiM_02_sum.txt_boot_001.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 25508.8761904751 51406.3492063425 25513.9230158722 51568.3575396821 25350.0940476189 53252.7607142845 25729.1738095237 56493.4265873005 25346.8789682541 66380.5757936505 117358 396088
SLiM_02_sum.txt_boot_001.txt 0.5 0.1081 0.296 0.496 0.696 0.8878 25494.369047616 51315.6714285786 25613.3928571415 51679.7285714348 25225.5916666663 52991.0369047627 25705.364285714 56801.9166666675 25324.107142857 65050.9214285717 117759 397159
