scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.FuLi.Syn Theta.FuLi.Nsyn Theta.Watt.Syn Theta.Watt.Nsyn Theta.Taji.Syn Theta.Taji.Nsyn Theta.FayWu.Syn Theta.FayWu.Nsyn Theta.vhf.Syn Theta.vhf.Nsyn Div.Syn Div.Nsyn
SLiM_05_sum.txt 0 0.02 0.2188 0.34 0.66 0.86 23958 37143 24189.3353431973 28826.9883264618 24220.1926530562 25354.537959184 24106.90938776 23596.4416326566 23714.1914716222 23725.7212337606 118561 126300
SLiM_05_sum.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.856 24050 36618 24212.1738176215 28636.8466929214 24215.0848696167 25365.5321526324 24119.3672929158 23627.2836193416 23881.5503026378 23988.1777768271 118602 126338
SLiM_05_sum.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 24143 35731 24202.9670649092 28289.0917353828 24203.8595981497 25343.7997680951 24137.5176887654 23577.0264424258 23786.7171640847 23678.7439130611 118714 126472
SLiM_05_sum.txt 0.5 0.0406 0.2548 0.3469 0.6531 0.829 24105 33987 24205.8531449451 27644.245010456 24234.6051465987 25362.9414743544 24137.0388886834 23665.0636986681 23890.9281460758 23930.6852081359 119053 126779
SLiM_05_sum.txt 0.75 0.0834 0.3021 0.3611 0.6389 0.783 24334 30823 24270.958408871 26565.864337457 24202.9669534368 25319.40114444 24168.0841928288 23596.1177370017 24209.8431668563 23515.1068436842 120114 127894
SLiM_05_sum.txt 0.9 0.2067 0.3821 0.4022 0.5978 0.6867 23287 26433 23357.9974498579 24690.4475549076 23386.8300810287 24402.7125124858 23320.3270729273 23235.3765873019 23289.0456380535 22922.7794242949 124755 132522
SLiM_05_sum.txt_boot_001.txt 0 0.02 0.2188 0.34 0.66 0.86 23710 37140 24117.0010839869 28840.1603057624 24144.3020408116 25335.7175510206 24170.8000000051 23533.2620408198 23607.7057354013 23628.2948111309 118100 126713
SLiM_05_sum.txt_boot_001.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.8559 23804 36702 24122.1627074045 28654.0317307314 24141.4374540349 25345.2934303339 24160.2322231971 23522.4441478514 23569.1840140733 23494.9527147298 118161 126778
SLiM_05_sum.txt_boot_001.txt 0.25 0.0268 0.2326 0.3423 0.6577 0.8485 23884 35848 24134.386211708 28305.040296662 24140.7286879621 25317.1905604915 24264.1469800848 23554.8420812928 24133.3519310469 23557.9231006868 118233 126876
SLiM_05_sum.txt_boot_001.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 24120 33858 24181.6927107179 27622.900462844 24147.7950323004 25340.8182867906 24195.1231978477 23548.2385157369 24043.8336622322 23482.4953850317 118577 127219
SLiM_05_sum.txt_boot_001.txt 0.75 0.0833 0.3019 0.3611 0.6389 0.7832 24159 30950 24130.0352156797 26616.4768457983 24123.1229379711 25353.4918231293 24253.3324864175 23642.7197562825 24411.4513950282 23562.8783607876 119651 128237
SLiM_05_sum.txt_boot_001.txt 0.9 0.2063 0.3819 0.4021 0.5979 0.687 23213 26480 23307.0897197194 24596.1503546172 23313.8597041832 24293.5749861232 23423.9322205573 22984.4512487516 23488.5755070478 22578.5002262551 124322 132884
SLiM_05_sum.txt_boot_002.txt 0 0.02 0.2188 0.34 0.66 0.86 24151 36901 24261.4463485213 28724.0682848075 24210.3820408111 25156.1061224496 24098.515918372 23496.8734693911 24155.7561079728 23616.0448318844 117640 126715
SLiM_05_sum.txt_boot_002.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.856 24200 36358 24264.9733935592 28518.0208219905 24204.7013101587 25152.0370045965 24076.41057668 23499.040167469 23901.4051913536 23641.7687945623 117706 126766
SLiM_05_sum.txt_boot_002.txt 0.25 0.0268 0.2326 0.3423 0.6577 0.8485 24236 35644 24288.8119092316 28221.7695604795 24223.6799348443 25158.2233534156 24119.0282220611 23516.3326871595 24143.9829248271 23842.9394719984 117799 126861
SLiM_05_sum.txt_boot_002.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 24367 33804 24274.7426196569 27520.9230435685 24213.2548735061 25149.1906173082 24069.9548038813 23529.6108495279 23751.7780012927 24054.3549392906 118169 127208
SLiM_05_sum.txt_boot_002.txt 0.75 0.0834 0.302 0.3611 0.6389 0.783 24263 30907 24210.2700096213 26550.5508025118 24167.110180537 25206.2387060707 24082.1633001615 23615.0242167431 24061.0761649826 23689.2748808938 119236 128287
SLiM_05_sum.txt_boot_002.txt 0.9 0.2058 0.3818 0.4019 0.5981 0.6873 23568 26665 23399.6928782081 24748.558988224 23338.7587329323 24426.025976799 23365.7534659786 23208.9184287936 23447.2684782745 22924.9365963116 123712 132849
SLiM_05_sum.txt_boot_003.txt 0 0.02 0.2188 0.34 0.66 0.86 23821 36822 24163.6611462554 28832.3464197366 24229.183673464 25307.6824489802 24233.3469387804 23566.2359183709 24028.4147470093 24591.5469088994 118346 127140
SLiM_05_sum.txt_boot_003.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 23872 36328 24191.2478392105 28645.1666629161 24230.5126207568 25315.0422405813 24240.6629980956 23555.7897765477 24063.4272576115 24443.1356451719 118398 127206
SLiM_05_sum.txt_boot_003.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 23832 35556 24159.8514138539 28328.0740607516 24228.6117777744 25321.121392816 24264.8912643357 23536.4307323437 24280.117357489 24494.4988726557 118492 127308
SLiM_05_sum.txt_boot_003.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.8291 23951 33919 24188.2633781615 27635.6058174696 24225.5537340462 25293.3186152225 24272.8542169611 23402.3487281528 24318.9269204631 23538.7505540215 118832 127714
SLiM_05_sum.txt_boot_003.txt 0.75 0.0834 0.302 0.3611 0.6389 0.7831 24539 31163 24301.4572336402 26691.5977050961 24255.8084758032 25360.6813838361 24139.7923217799 23393.0769769657 24138.376913984 23141.1970286795 119970 128821
SLiM_05_sum.txt_boot_003.txt 0.9 0.2067 0.3821 0.4022 0.5978 0.6867 23449 26680 23369.8360615856 24767.2829954019 23347.1327621709 24446.1059329542 23377.2709341316 23203.9948162951 23433.3219987457 22923.1583167292 124544 133288
SLiM_05_sum.txt_boot_004.txt 0 0.02 0.2188 0.34 0.66 0.86 24078 37197 24216.1258095716 28942.1873318709 24152.0636734641 25500.7959183676 23964.2628571472 23751.6530612283 23787.5003869346 24190.4259735549 118656 126710
SLiM_05_sum.txt_boot_004.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.8559 24180 36771 24221.0836413834 28766.2782855753 24147.646082618 25502.2719642007 23992.7255330972 23724.6784511271 23743.5862203257 23993.5846727585 118706 126783
SLiM_05_sum.txt_boot_004.txt 0.25 0.0268 0.2326 0.3423 0.6577 0.8485 24297 35934 24218.5510539836 28449.3717942023 24152.7945021713 25492.3944369625 23984.502465207 23722.6492514839 23767.8108544107 23944.5226900382 118807 126884
SLiM_05_sum.txt_boot_004.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 24409 34079 24224.633420871 27791.9161622418 24116.3472912169 25530.1710126517 23923.3722580568 23780.0913455022 23739.8307887974 23850.885406083 119172 127236
SLiM_05_sum.txt_boot_004.txt 0.75 0.0835 0.3021 0.3612 0.6388 0.7829 24339 30928 24210.3281037016 26733.6062016656 24182.2907499017 25514.6041063661 23985.7289765685 23786.2289932143 23659.212521003 23580.628393952 120229 128294
SLiM_05_sum.txt_boot_004.txt 0.9 0.2065 0.382 0.4022 0.5978 0.6868 23486 26601 23374.7289293846 24941.5324274999 23336.2987174578 24672.9613339256 23281.0838804989 23549.7204703797 23303.2023951949 23282.6759147597 124661 132908
SLiM_05_sum.txt_boot_005.txt 0 0.02 0.2188 0.34 0.66 0.86 24093 37345 24226.3954883483 28848.6439534476 24269.8016326478 25305.6857142856 24033.9126530662 23537.7020408198 23078.3437129833 23383.0264781802 118625 126394
SLiM_05_sum.txt_boot_005.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.8559 24185 36796 24235.82869636 28655.0583384062 24267.388746527 25308.6372402568 24055.6856050225 23555.6989771443 23250.2113694237 23509.6003295148 118667 126447
SLiM_05_sum.txt_boot_005.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 24160 35883 24233.2941393737 28324.5988153463 24279.9448710771 25311.2661102043 24071.0052905749 23540.050893376 23357.1525398691 23605.085602241 118766 126562
SLiM_05_sum.txt_boot_005.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 24056 34030 24224.4850866389 27629.0583650882 24242.284633084 25326.4107100556 24194.4183941306 23638.5129134882 24214.2995745765 23749.2904286279 119078 126845
SLiM_05_sum.txt_boot_005.txt 0.75 0.0834 0.302 0.3611 0.6389 0.783 24633 30746 24296.2651414434 26579.7909368421 24237.9078483693 25340.1448257296 24082.4319032335 23703.2390756083 23890.1972174726 23845.757241821 120194 127923
