scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.i20.Syn Theta.i20.NSyn Theta.i40.Syn Theta.i40.NSyn Theta.i60.Syn Theta.i60.NSyn Theta.i80.Syn Theta.i80.NSyn Theta.i100.Syn Theta.i100.NSyn Div.Syn Div.Nsyn
SLiM_05_sum.txt 0 0.1 0.29 0.49 0.69 0.89 24320.5555555577 28756.4444444693 24202.5000000002 24173.7999999999 24145.9000000003 23122.6000000008 24111.8000000003 22889.3000000006 24052.7000000001 23863.4000000003 118561 126300
SLiM_05_sum.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 24334.8412698434 28674.9226190578 24193.9353174626 24010.1781746055 24229.3738095245 23307.3150793656 24200.6043650799 22821.5234126988 23937.6587301587 23870.0908730158 118620 126347
SLiM_05_sum.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.8919 24280.2861111104 28685.4313492015 24184.3420634915 24068.3888888883 24193.848015873 23376.9238095238 24182.3976190475 22697.3551587302 24060.7384920637 23932.4083333336 118700 126465
SLiM_05_sum.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8878 24216.6785714257 28688.2880952346 24227.2809523797 24076.9583333322 24255.7345238091 23244.2738095234 24114.395238095 22918.8738095235 24035.3619047618 24014.4976190476 119041 126803
SLiM_05_sum.txt 0.75 0.1168 0.2923 0.4921 0.692 0.8753 24058.0000000003 28659.2666666675 24034.283333334 24537.4000000005 24107.0499999999 23048.8833333332 23829.6499999999 22949.9 24081.3500000001 23650.1666666667 120133 127841
SLiM_05_sum.txt 0.9 0.1431 0.3066 0.4977 0.6888 0.8545 9195.33333333333 11056 9468 9252.16666666667 9016.83333333333 9194.66666666667 9359.5 8768.5 9426 8991 124693 132460
SLiM_05_sum.txt_boot_001.txt 0 0.1 0.29 0.49 0.69 0.89 24194.1111111132 28853.5555555805 23954.6000000003 23984.3 24161.2000000002 23218.4000000008 24358.0000000003 22800.3000000006 24123.5 23757.8000000003 118100 126713
SLiM_05_sum.txt_boot_001.txt 0.1 0.1045 0.2977 0.4977 0.6976 0.8932 24200.5595238117 28697.2996031848 23884.9238095259 23876.0488095261 24302.6924603182 23130.506349207 24380.9797619053 22965.5500000003 23962.6996031747 23767.6567460318 118161 126761
SLiM_05_sum.txt_boot_001.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 24243.2615079357 28677.1448412654 23896.6619047613 23916.2031746026 24227.5091269842 22997.8845238095 24244.6047619048 23129.3198412699 24330.458730159 23844.5654761907 118242 126864
SLiM_05_sum.txt_boot_001.txt 0.5 0.1081 0.296 0.496 0.6959 0.8878 24071.9404761875 28798.0071428537 23981.3416666655 24178.0297619036 24104.6654761901 22901.6809523805 24281.2404761902 23017.8547619045 24466.6309523809 23671.7309523809 118547 127238
