scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.i20.Syn Theta.i20.NSyn Theta.i40.Syn Theta.i40.NSyn Theta.i60.Syn Theta.i60.NSyn Theta.i80.Syn Theta.i80.NSyn Theta.i100.Syn Theta.i100.NSyn Div.Syn Div.Nsyn
SLiM_07_sum.txt 0 0.1 0.29 0.49 0.69 0.89 22570.4444444454 31053.5555555829 21791.0000000011 29407.1999999978 21213.0000000011 32784.7999999989 21532.2000000007 42197.7000000053 21419.0000000006 74253.0999999905 120183 662730
SLiM_07_sum.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 22545.3472222234 30954.4285714397 21702.0234126997 29510.4682539726 21178.2928571431 32967.8126984147 21601.7166666669 42932.1325396859 21472.9523809522 74453.1226190494 120233 662963
SLiM_07_sum.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.8919 22468.6067460321 31018.4115079311 21827.9138888886 29677.7964285701 21133.4166666668 32718.8936507934 21690.4503968254 42884.9079365071 21436.6214285716 72913.7920634895 120323 663478
SLiM_07_sum.txt 0.5 0.1081 0.296 0.496 0.696 0.8878 22629.6547619019 31296.9571428533 21649.488095237 29214.1309523795 21357.7928571426 32950.7845238091 21473.3380952379 42439.9035714287 21332.7 70184.473809524 120658 664783
SLiM_07_sum.txt 0.75 0.1168 0.2921 0.492 0.692 0.8753 22389.2000000002 31264.4833333341 21851.9166666672 29589.2333333341 21007 32595.3166666666 21375.6833333333 41641.0333333335 20940.1833333334 61189.5833333328 121634 668265
SLiM_07_sum.txt 0.9 0.1432 0.3065 0.4978 0.6892 0.8546 8503.66666666667 12045.6666666667 8494.5 11654.1666666667 8353.66666666667 12924.8333333333 8288.33333333334 15433.8333333333 8072.5 20777.5 125622 677620
SLiM_07_sum.txt_boot_001.txt 0 0.1 0.29 0.49 0.69 0.89 22435.2222222231 31123.6666666942 21829.9000000011 28987.9999999977 21384.1000000011 32185.4999999987 21635.7000000006 41820.0000000051 21223.7000000006 74328.1999999903 120357 663027
SLiM_07_sum.txt_boot_001.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 22365.7817460329 31093.011904773 21763.7841269854 29034.4603174644 21299.6531746035 32379.0003968273 21879.2638888891 42327.5920634954 21115.8396825394 74541.9833333356 120411 663283
SLiM_07_sum.txt_boot_001.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 22322.0242063495 30999.688492058 21810.827380952 29167.1499999988 21357.2539682541 32331.6626984124 21857.5226190477 42447.4761904756 21103.2115079367 73501.1773809496 120513 663715
SLiM_07_sum.txt_boot_001.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8878 22412.1119047594 31195.6761904723 21770.1071428561 29111.297619046 21456.5654761902 32355.6916666661 21693.8964285711 42271.1607142858 21262.0023809523 69528.9488095239 120808 665089
SLiM_07_sum.txt_boot_001.txt 0.75 0.1167 0.292 0.492 0.692 0.8753 22239.9500000002 31389.1833333343 21776.9833333337 29279.3500000008 21252.8166666666 31920.9999999998 21237.7 40878.1333333334 20768.6666666667 61935.7833333327 121811 668561
SLiM_07_sum.txt_boot_001.txt 0.9 0.1436 0.3068 0.4978 0.6887 0.8542 8509.66666666667 11993.3333333333 8441 11422.1666666667 8200.83333333333 12801.5 8538.16666666667 15466.1666666667 8147.5 21446.6666666667 125935 677770
SLiM_07_sum.txt_boot_002.txt 0 0.1 0.29 0.49 0.69 0.89 22591.444444445 30948.4444444713 21489.8000000011 29169.8999999976 20883.2000000011 32616.3999999989 21285.2000000007 42307.9000000055 21521.6000000005 74417.1999999904 119438 662326
SLiM_07_sum.txt_boot_002.txt 0.1 0.1045 0.2978 0.4977 0.6977 0.8932 22509.6369047629 30918.248015884 21409.540873017 29255.1813492104 20813.8861111113 32729.1154761925 21489.0781746034 42928.5821428604 21484.9920634919 74595.1904761926 119484 662580
SLiM_07_sum.txt_boot_002.txt 0.25 0.1053 0.2973 0.4973 0.6973 0.892 22560.2146825398 30904.7888888832 21431.4928571426 29152.1373015861 20697.3039682541 32737.4043650791 21577.6380952382 42895.6563492055 21523.825793651 73811.0749999971 119572 662981
SLiM_07_sum.txt_boot_002.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8878 22517.2309523784 30939.6690476153 21469.8333333324 29304.8571428556 20982.1190476187 32663.5952380948 21487.1107142855 42808.2154761907 21416.5761904762 69980.9285714286 119888 664378
SLiM_07_sum.txt_boot_002.txt 0.75 0.1167 0.292 0.492 0.6919 0.8753 22227.3666666669 31060.3333333341 21456.2666666672 29017.8666666674 21006.1333333332 32626.5333333333 21094.9833333333 42052.0833333334 21192 61750.2333333329 120869 667856
SLiM_07_sum.txt_boot_002.txt 0.9 0.1433 0.3065 0.4978 0.689 0.8545 8709.33333333333 11938 8375.5 11389.5 8192.5 12956.8333333333 7968.5 15733.6666666667 8659 20592.6666666667 124835 677088
SLiM_07_sum.txt_boot_003.txt 0 0.1 0.29 0.49 0.69 0.89 22860.3333333349 30974.4444444715 21688.6000000012 29280.9999999981 21109.200000001 32720.1999999988 21473.1000000007 42709.9000000058 21609.7000000005 74620.69999999 119788 662579
SLiM_07_sum.txt_boot_003.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 22789.432539684 31029.1984127095 21689.9182539696 29234.1912698455 21022.3452380954 32946.0984127005 21635.7023809527 43056.5103174636 21518.9480158729 75159.0404761926 119849 662823
SLiM_07_sum.txt_boot_003.txt 0.25 0.1053 0.2973 0.4973 0.6973 0.892 22743.8503968255 30969.597619042 21756.252380952 29157.2404761892 20992.1392857144 33139.0007936504 21536.7833333333 42873.3559523803 21704.0222222224 74044.217063489 119939 663304
SLiM_07_sum.txt_boot_003.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8878 22707.947619045 31024.7380952343 21857.594047618 29313.5690476176 21152.3011904759 33034.9428571424 21538.2654761902 42932.8309523811 21630.3642857142 70370.2809523809 120245 664601
SLiM_07_sum.txt_boot_003.txt 0.75 0.1166 0.292 0.4919 0.6919 0.8753 22561.1166666669 31134.4833333342 21714.1166666671 29518.4000000007 21120.7833333333 32166.0999999998 21463.7666666666 41998.0833333333 21281.0833333334 62760.6666666661 121164 668071
SLiM_07_sum.txt_boot_003.txt 0.9 0.1433 0.3065 0.4977 0.6889 0.8544 8611.5 12270.6666666667 8445 11472.1666666667 8493 13004.6666666667 8398 15939.3333333333 8243.5 21001.5 125332 677520
SLiM_07_sum.txt_boot_004.txt 0 0.1 0.29 0.49 0.69 0.89 22639.3333333343 31432.1111111389 21974.4000000011 29302.0999999977 21317.300000001 32984.7999999989 21556.1000000007 42403.2000000056 21172.5000000005 73579.0999999912 120105 661953
SLiM_07_sum.txt_boot_004.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 22672.9801587313 31336.9563492179 21897.7841269855 29278.954761909 21294.6380952383 33364.1710317484 21651.6626984129 43024.5460317494 21146.6952380951 73617.9694444464 120153 662215
