scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.FuLi.Syn Theta.FuLi.Nsyn Theta.Watt.Syn Theta.Watt.Nsyn Theta.Taji.Syn Theta.Taji.Nsyn Theta.FayWu.Syn Theta.FayWu.Nsyn Theta.vhf.Syn Theta.vhf.Nsyn Div.Syn Div.Nsyn
SLiM_07_sum.txt 0 0.02 0.2188 0.34 0.66 0.86 23665 37049 22423.6203552496 35122.7479244425 21861.71755102 33762.8457142879 21513.221224494 50560.011428565 21796.9533018901 78108.379271538 120183 662730
SLiM_07_sum.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.856 23664 36570 22415.1657108882 35030.7570723446 21862.000697639 33753.7783272929 21491.1044420396 50253.7278024012 21693.8465623941 76265.6180726924 120244 662981
SLiM_07_sum.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 23481 36043 22345.1512357703 34867.4627631397 21848.6086598572 33746.7051511232 21505.9766942808 49504.1194396619 21557.7409979485 72656.666103803 120342 663516
SLiM_07_sum.txt 0.5 0.0406 0.2548 0.3469 0.6531 0.829 23343 34504 22307.0618116663 34609.052385485 21892.9062428948 33763.5690018894 21540.1341777861 48129.2906554746 21584.2166356818 67311.3340667944 120648 664744
SLiM_07_sum.txt 0.75 0.0834 0.302 0.3611 0.6389 0.7831 22661 32594 22069.2527139819 34207.3754199727 21868.7484250694 33734.8132534178 21619.032312528 44584.9733951008 21688.7140855036 55703.897558438 121566 668220
SLiM_07_sum.txt 0.9 0.2061 0.3819 0.402 0.598 0.6871 21401 30435 21145.7682197842 32652.565163372 21091.6420856912 32546.5441989359 20933.5094461098 37288.5363048697 20917.3364225051 40447.5586673981 125724 677451
SLiM_07_sum.txt_boot_001.txt 0 0.02 0.2188 0.34 0.66 0.86 23732 37303 22411.1181376083 35044.6090641831 21871.6057142853 33503.8906122473 21501.9044898001 50305.4971428508 21752.1136588601 77706.4346701604 120357 663027
SLiM_07_sum.txt_boot_001.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 23636 37098 22394.241892266 34979.4524427707 21874.4870532565 33501.7637278761 21529.7698206861 50042.861586215 21917.8172328517 76204.2941048557 120400 663252
SLiM_07_sum.txt_boot_001.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 23351 36176 22321.7192098775 34821.3557659081 21885.3242359134 33520.3116055517 21542.57919716 49471.9707410842 21552.9223574005 73464.2453122237 120498 663723
SLiM_07_sum.txt_boot_001.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 23012 34678 22160.308450706 34510.1102370533 21825.0225090938 33490.3468050676 21505.5938676317 48022.569362361 21803.9688021208 67158.3974962354 120799 665034
SLiM_07_sum.txt_boot_001.txt 0.75 0.0835 0.3021 0.3612 0.6388 0.783 22878 32927 22118.8240415319 34114.4098661595 21920.7570536464 33483.6589888073 21462.1617190133 44269.2902580719 21140.0172205242 55141.5237427018 121804 668537
