scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.FuLi.Syn Theta.FuLi.Nsyn Theta.Watt.Syn Theta.Watt.Nsyn Theta.Taji.Syn Theta.Taji.Nsyn Theta.FayWu.Syn Theta.FayWu.Nsyn Theta.vhf.Syn Theta.vhf.Nsyn Div.Syn Div.Nsyn
SLiM_1_sum.txt 0 0.02 0.2188 0.34 0.66 0.86 24557 37029 24522.206887897 28701.9661500487 24514.2759183621 25194.413061225 24290.2138775562 22745.1787755139 23888.8432570292 22659.8939632507 119462 107357
SLiM_1_sum.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 24614 36640 24526.854614269 28524.8283855551 24518.2942727219 25202.038515617 24280.8496246389 22741.2509957658 23861.3674674955 22591.7316690987 119520 107408
SLiM_1_sum.txt 0.25 0.0268 0.2326 0.3423 0.6577 0.8485 24374 35773 24489.8103795881 28176.4908455866 24506.8349463191 25178.1502814689 24313.2601323602 22764.5034312983 24104.1961060333 22420.1263872708 119611 107510
SLiM_1_sum.txt 0.5 0.0406 0.2547 0.3469 0.6531 0.829 24502 33939 24514.7301468988 27533.6550571682 24510.8784009553 25182.0583054464 24384.6216623501 22786.2131486253 24346.3186949524 22499.8141211742 119950 107834
SLiM_1_sum.txt 0.75 0.0834 0.302 0.3611 0.6389 0.783 24415 30700 24454.8104640673 26394.6867865535 24468.0484879675 25165.4522553947 24401.0985534082 22938.94772899 24345.375539378 22378.1334269924 120998 108799
SLiM_1_sum.txt 0.9 0.2062 0.3819 0.4021 0.5979 0.6871 23549 26693 23556.3437426598 24682.6968380969 23562.2661310899 24358.9609501591 23481.443564769 22981.2024642029 23464.5485574181 22614.2111561971 125652 113209
SLiM_1_sum.txt_boot_001.txt 0 0.02 0.2188 0.34 0.66 0.86 24693 37339 24554.801955319 28776.7562020101 24615.9224489739 25147.2693877556 24706.5673469442 22670.8122449016 24559.5633993079 22777.5964529682 119315 107220
SLiM_1_sum.txt_boot_001.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.8559 24566 36872 24534.4719969324 28585.7357650174 24612.1680642158 25145.7413979695 24710.8255937842 22681.3088577213 24620.5717986583 22777.4485039235 119365 107271
SLiM_1_sum.txt_boot_001.txt 0.25 0.0268 0.2326 0.3423 0.6577 0.8485 24597 35732 24542.00996915 28200.1267023951 24627.6187589948 25138.534528184 24714.3190755505 22629.7727042394 24770.0960017849 22205.5435904619 119478 107395
SLiM_1_sum.txt_boot_001.txt 0.5 0.0406 0.2548 0.3469 0.6531 0.829 24288 33914 24505.6503836055 27556.3626726469 24615.6090265726 25168.6938644785 24705.7031431353 22778.0159540666 24734.3156723438 22497.8712100661 119841 107666
SLiM_1_sum.txt_boot_001.txt 0.75 0.0835 0.3021 0.3612 0.6388 0.783 24278 31127 24556.1773999809 26433.9243000022 24612.6030076355 25119.6579368921 24797.02422249 22848.1913364193 24950.7244215285 22286.6643779948 120894 108734
SLiM_1_sum.txt_boot_001.txt 0.9 0.2076 0.3826 0.4025 0.5975 0.6861 23800 26692 23828.2419250697 24667.2845348958 23843.5493339978 24332.1250360732 23872.345687646 22894.95969031 23809.997845531 22479.6428566867 125534 113035
SLiM_1_sum.txt_boot_002.txt 0 0.02 0.2188 0.34 0.66 0.86 24572 37051 24463.9376235331 28671.1571137184 24412.9812244845 25154.9240816333 24257.6310204131 22720.9126530648 24233.246718656 22459.0034407998 119591 107424
SLiM_1_sum.txt_boot_002.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.856 24638 36677 24461.7265781435 28487.7716232324 24407.1743735487 25153.1460634924 24270.2792129672 22714.9828661175 24321.9168495963 22326.4717385329 119638 107480
