scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.i20.Syn Theta.i20.NSyn Theta.i40.Syn Theta.i40.NSyn Theta.i60.Syn Theta.i60.NSyn Theta.i80.Syn Theta.i80.NSyn Theta.i100.Syn Theta.i100.NSyn Div.Syn Div.Nsyn
SLiM_1_sum.txt 0 0.1 0.29 0.49 0.69 0.89 24589.6666666691 28925.8888889138 24681.4999999999 24137.5000000001 24243.8000000003 22800.3000000006 24639.3 22293.9000000006 23875.7000000003 22187.0000000006 119462 107357
SLiM_1_sum.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 24667.8353174626 28764.9543650896 24544.0623015898 24023.7190476213 24383.1456349213 22765.2087301593 24556.889285715 22257.827777778 23928.3690476191 22229.1575396824 119499 107415
SLiM_1_sum.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 24670.2345238088 28843.927777773 24565.0912698406 24062.9238095232 24435.5916666667 22856.2686507937 24535.5869047618 22211.2920634921 23880.3480158732 22101.1396825399 119616 107523
SLiM_1_sum.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8878 24585.5654761874 28992.2678571393 24574.0964285704 23960.1892857131 24401.302380952 22902.5297619044 24538.339285714 22486.1976190474 24075.7404761904 22078.038095238 119938 107827
SLiM_1_sum.txt 0.75 0.1168 0.2919 0.4919 0.6919 0.8752 24238.616666667 28923.8500000008 24634.0333333339 24716.4333333339 24105.2666666665 22502.8833333333 24446.9666666666 22473.6333333332 24028.0000000001 22215.5 120997 108774
SLiM_1_sum.txt 0.9 0.143 0.3066 0.4978 0.689 0.8548 9408.5 10893.8333333333 9394.5 9444.5 9554.75 9253.5 9577.33333333333 8792.5 9294.5 8634.5 125619 113216
SLiM_1_sum.txt_boot_001.txt 0 0.1 0.29 0.49 0.69 0.89 24507.7777777802 29085.5555555809 24501.2 24002.6000000002 24751.9999999999 22510.2000000006 24887.4999999996 22130.2000000007 24642.4000000001 22334.3000000005 119315 107220
SLiM_1_sum.txt_boot_001.txt 0.1 0.1045 0.2978 0.4977 0.6976 0.8932 24449.644841272 28916.670634931 24561.3694444468 24074.3734127006 24804.6480158738 22388.4880952386 24908.483333334 22122.4972222226 24589.8932539683 22358.1273809524 119373 107273
SLiM_1_sum.txt_boot_001.txt 0.25 0.1054 0.2973 0.4973 0.6973 0.892 24446.131746031 28923.793650789 24512.6511904754 24110.1722222215 24972.2753968254 22454.9234126984 24803.2388888888 21962.7333333332 24568.621825397 22348.9884920637 119480 107376
SLiM_1_sum.txt_boot_001.txt 0.5 0.1081 0.2959 0.4959 0.6959 0.8878 24482.2857142828 29178.3738095203 24492.5261904749 23986.9119047608 24915.1857142854 22430.7880952377 24523.1440476187 22217.8833333331 24946.9595238094 22173.8047619047 119810 107715
SLiM_1_sum.txt_boot_001.txt 0.75 0.1168 0.2921 0.492 0.6919 0.8752 24269.2000000004 28969.5000000008 24412.883333334 24374.2833333339 24800.8 22909.6666666666 24452.4666666666 21742.8666666666 24776.0000000001 22062.6666666667 120865 108715
SLiM_1_sum.txt_boot_001.txt 0.9 0.1434 0.3065 0.4977 0.6889 0.8543 9504.5 11001 9397.83333333333 9533.5 9673.33333333333 8798 9573.33333333334 8651.83333333333 9549.5 8616.5 125649 113066
